"","st_id","op_id","op_date","st_alt","st_dist_source","st_t_jan","st_t_jui","sp_nom","sp_effectif"
"13767",661,1643,"14/6/2006 00:00:00",29,411,4.5,20.4,"Esox lucius",4
"13949",569,1669,"19/9/2006 00:00:00",NA,NA,4,18.2,"Anguilla anguilla",4
"37369",1832,4562,"23/9/1986 00:00:00",73,9,6.6,18.4,"Barbatula barbatula",9
"6677",396,775,"17/7/1990 00:00:00",NA,NA,3.8,19.4,"Anguilla anguilla",1
"39197",1867,4791,"19/9/1996 00:00:00",45,13,6.8,18.6,"Gobio gobio",16
"29620",1401,3712,"3/6/1986 00:00:00",23,57,5.8,19.9,"Ameiurus melas",6
"37600",1818,4586,"18/10/1991 00:00:00",42,35,6.1,18.8,"Anguilla anguilla",3
"32377",1413,3948,"4/9/2002 00:00:00",130,16,4.8,18.6,"Cottus gobio",5
"8568",129,1017,"22/5/2001 00:00:00",4,73,4.4,18.2,"Sander lucioperca",1
"25435",779,3262,"2/6/1998 00:00:00",9,610.5,4.3,19,"Chondrostoma nasus",3
"11376",521,1371,"26/4/2000 00:00:00",21,492,4.3,19.6,"Alburnus alburnus",67
"124",676,20,"15/6/1995 00:00:00",33,26,4,19.6,"Barbus barbus",2
"16220",879,1976,"3/7/1985 00:00:00",25,12,6,18.6,"Cottus gobio",58
"8619",472,1023,"3/9/1998 00:00:00",31,414,4.9,20.8,"Alburnus alburnus",115
"7094",373,816,"18/10/2001 00:00:00",56,45,3.9,19.1,"Perca fluviatilis",6
"28095",1399,3582,"25/10/1989 00:00:00",65,19,5.7,19.3,"Perca fluviatilis",74
"27816",1304,3552,"11/9/1986 00:00:00",40,19,5.7,20.2,"Phoxinus phoxinus",6
"10526",248,1277,"5/9/2002 00:00:00",70,36,3.4,19.7,"Perca fluviatilis",1
"33334",1269,4031,"29/6/2005 00:00:00",6,77,6.6,19.5,"Sander lucioperca",11
"19721",1037,2487,"22/10/1993 00:00:00",80,94,5,18.5,"Anguilla anguilla",35
"5983",375,684,"20/10/1998 00:00:00",34,25,4,19.4,"Cottus gobio",75
"3300",489,391,"14/9/1989 00:00:00",54,5,3.9,20,"Scardinius erythrophthalmus",2
"12838",335,1541,"8/9/2005 00:00:00",70,6,3.5,19.7,"Gobio gobio",2
"33220",1309,4021,"2/9/2004 00:00:00",28,92,5.5,20.5,"Blicca bjoerkna",47
"31308",1441,3857,"18/6/2003 00:00:00",3,62,6.2,20.8,"Lepomis gibbosus",24
"13682",677,1635,"31/8/2005 00:00:00",24,300,4.1,19.5,"Rutilus rutilus",613
"16303",814,1986,"18/6/1987 00:00:00",3,40.2,6,17.7,"Scardinius erythrophthalmus",1
"9062",134,1078,"30/9/1988 00:00:00",15,13,4.4,18.2,"Anguilla anguilla",6
"22046",830,2796,"28/10/2003 00:00:00",155,10.74,5.2,17.7,"Gobio gobio",5
"34583",1566,4169,"26/9/1990 00:00:00",15,12,7.2,17.6,"Cottus gobio",33
"9382",286,1138,"9/9/1986 00:00:00",170,28,2.8,18.6,"Phoxinus phoxinus",5
"30149",1436,3765,"15/9/1993 00:00:00",75,33,4.6,19.7,"Perca fluviatilis",7
"31719",1434,3894,"1/12/1994 00:00:00",NA,8,4.8,19.8,"Salmo trutta fario",1
"10946",244,1329,"28/9/1995 00:00:00",42,294,4,19.6,"Squalius cephalus",90
"7777",616,903,"14/9/1995 00:00:00",33,500,4.5,20.2,"Rutilus rutilus",54
"29989",1352,3748,"29/4/1982 00:00:00",NA,NA,6.9,19.9,"Rutilus rutilus",5
"29882",1414,3737,"19/9/1995 00:00:00",NA,NA,4.4,18.3,"Rutilus rutilus",7
"22148",1226,2809,"14/9/2004 00:00:00",171,15.89,4.4,18.2,"Lampetra planeri",2
"4740",504,546,"24/7/1996 00:00:00",38,400,4.3,19.9,"Lepomis gibbosus",4
"9261",130,1116,"9/4/2002 00:00:00",2,15,4.4,18.1,"Blicca bjoerkna",6
"28279",1339,3597,"19/9/1995 00:00:00",145,13,4.8,18.7,"Squalius cephalus",57
"25285",776,3247,"24/10/1990 00:00:00",66,140,4.3,19.3,"Blicca bjoerkna",2
"24486",860,3149,"17/10/1995 00:00:00",32,110,4.8,18.6,"Anguilla anguilla",75
"25757",1083,3300,"5/11/2004 00:00:00",90,1,4.1,18.3,"Salmo trutta fario",58
"5338",276,605,"27/10/1987 00:00:00",NA,NA,3.7,19.1,"Oncorhynchus mykiss",38
"2592",30,311,"8/6/1988 00:00:00",1,NA,4.5,18.2,"Scardinius erythrophthalmus",4
